time,rssi,snr,crc_status,packet_rate,avg_packet_size,day,crc_error_rate,rssi_roll_mean,snr_roll_std,load_roll_mean
2020-08-03 01:44:27+00:00,0.0,0.0,0.0,0,0.0,03_08_2020,1.0,-10.7,3.4152598729816117,0.1
2020-08-03 12:35:47+00:00,-103.0,-9.2,1.0,1,-1.0,03_08_2020,0.0,-30.1,7.046385992518027,0.3
2019-04-02 20:28:27+00:00,0.0,0.0,0.0,0,0.0,02_04_2019,1.0,-65.4,6.319950773366578,0.9
2020-08-03 11:12:52+00:00,0.0,0.0,0.0,0,0.0,03_08_2020,1.0,-42.1,3.884570618342212,0.4
2019-04-02 18:30:22+00:00,-111.0,-12.1,1.0,2,29.0,02_04_2019,0.0,-86.75,5.567642684451679,1.7
2020-05-02 06:21:19+00:00,-72.0,7.5,1.0,1,-1.0,02_05_2020,0.0,-23.6,3.854593219638835,0.3
2019-04-02 09:09:48+00:00,-112.25,-8.55,0.0,4,14.5,02_04_2019,1.0,-44.641666666666666,4.377216898644323,1.0
2019-04-02 17:22:06+00:00,-109.0,-4.733333333333333,0.3333333333333333,3,19.33333333333333,02_04_2019,0.6666666666666667,-98.84166666666668,5.936974538152139,2.2
2019-03-03 19:50:57+00:00,0.0,0.0,0.0,0,0.0,03_03_2019,1.0,-64.29166666666666,3.8867140744201594,1.6
2020-08-03 17:47:07+00:00,0.0,0.0,0.0,0,0.0,03_08_2020,1.0,-40.05,6.139600511795799,0.6
2019-04-02 08:54:56+00:00,-108.0,-12.15,-1.0,2,0.0,02_04_2019,2.0,-75.375,5.234384183242396,1.3
2019-03-03 16:46:39+00:00,-110.0,-7.733333333333333,0.3333333333333333,3,19.33333333333333,03_03_2019,0.6666666666666667,-53.75,4.728580360131524,1.1
2020-09-02 01:28:36+00:00,-99.0,-13.8,-1.0,1,-1.0,02_09_2020,2.0,-21.4,5.305971478752236,0.2
2020-09-02 08:44:55+00:00,0.0,0.0,0.0,0,0.0,02_09_2020,1.0,-9.6,0.2529822128099919,0.1
2020-07-03 09:20:00+00:00,0.0,0.0,0.0,0,0.0,03_07_2020,1.0,-21.1,5.833095233235843,0.2
2020-05-02 03:18:41+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-7.9,3.1622776601679585,0.1
2020-08-03 11:43:54+00:00,0.0,0.0,0.0,0,0.0,03_08_2020,1.0,0.0,0.0,0.0
2020-05-02 22:46:37+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-20.45,3.7313424751240514,0.3
2020-05-02 08:55:45+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,0.0,0.0,0.0
2019-04-02 18:07:58+00:00,-99.5,12.5,1.0,2,31.0,02_04_2019,0.0,-77.46666666666667,7.763699361630205,1.8
2020-09-02 09:39:42+00:00,0.0,0.0,0.0,0,0.0,02_09_2020,1.0,-10.7,1.9606121493039816,0.1
2020-07-03 10:46:28+00:00,0.0,0.0,0.0,0,0.0,03_07_2020,1.0,-7.9,3.2255232133714835,0.1
2020-08-03 22:43:57+00:00,-109.0,-14.75,-1.0,2,-1.0,03_08_2020,2.0,-30.6,6.196381112301563,0.4
2019-04-02 14:24:18+00:00,0.0,0.0,0.0,0,0.0,02_04_2019,1.0,-43.35,4.196559437337935,0.7
2020-05-02 05:46:41+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-29.25,5.009723877952853,0.4
2020-05-02 15:44:09+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-8.1,2.371708245125749,0.1
2019-04-02 20:31:05+00:00,0.0,0.0,0.0,0,0.0,02_04_2019,1.0,-42.98333333333333,3.9590999257685886,0.8
2020-09-02 00:00:49+00:00,0.0,0.0,0.0,0,0.0,02_09_2020,1.0,-19.3,2.121320343559216,0.2
2020-08-03 19:23:07+00:00,0.0,0.0,0.0,0,0.0,03_08_2020,1.0,0.0,0.0,0.0
2020-09-02 12:03:41+00:00,-95.0,-12.8,-1.0,1,-1.0,02_09_2020,2.0,-29.7,6.274330420229774,0.3
2019-04-02 06:38:32+00:00,-109.0,-4.0,1.0,1,29.0,02_04_2019,0.0,-55.53333333333333,4.145799971948368,1.0
2020-07-03 14:07:32+00:00,-81.0,9.2,1.0,1,-1.0,03_07_2020,0.0,-18.5,5.615256994217592,0.2
2019-04-02 02:39:18+00:00,0.0,0.0,0.0,0,0.0,02_04_2019,1.0,-44.78333333333333,5.139342622611623,0.7
2020-05-02 17:13:52+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-30.0,3.789239149662068,0.5
2019-04-02 06:21:35+00:00,-107.5,-5.25,1.0,4,27.5,02_04_2019,0.0,-66.65,4.117307642406862,1.5
2019-03-03 16:28:51+00:00,0.0,0.0,0.0,0,0.0,03_03_2019,1.0,-64.95,5.540197173587031,1.4
2020-08-03 18:08:28+00:00,0.0,0.0,0.0,0,0.0,03_08_2020,1.0,0.0,0.0,0.0
2019-04-02 19:01:29+00:00,-114.5,-11.875,-1.0,4,0.0,02_04_2019,2.0,-66.7,4.9080291360177455,1.6
2020-07-03 17:29:17+00:00,0.0,0.0,0.0,0,0.0,03_07_2020,1.0,-10.4,1.5811388300836906,0.1
2020-08-03 18:54:48+00:00,0.0,0.0,0.0,0,0.0,03_08_2020,1.0,-29.7,3.2635359147197107,0.3
2020-08-03 13:33:47+00:00,-73.0,6.8,1.0,1,-1.0,03_08_2020,0.0,-7.3,2.15034880891416,0.1
2019-04-02 04:08:14+00:00,0.0,0.0,0.0,0,0.0,02_04_2019,1.0,-66.6,5.53604602180613,1.1
2019-04-02 01:50:49+00:00,0.0,0.0,0.0,0,0.0,02_04_2019,1.0,-44.78333333333333,6.839406515296592,0.7
2020-05-02 11:35:36+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-21.2,4.6915526925171,0.3
2020-05-02 21:58:57+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-31.3,5.54641025048319,0.3
2019-03-03 03:45:24+00:00,-114.5,-3.75,1.0,2,26.0,03_03_2019,0.0,-55.82857142857142,3.666821966407964,1.5
2020-08-03 17:42:44+00:00,0.0,0.0,0.0,0,0.0,03_08_2020,1.0,-8.8,2.529822128134458,0.1
2019-03-03 01:24:43+00:00,-109.0,-12.2,-1.0,1,0.0,03_03_2019,2.0,-85.83333333333333,6.965791412323492,1.9
2020-08-03 16:27:37+00:00,-105.0,4.2,1.0,1,-1.0,03_08_2020,0.0,-10.5,1.3281566172702417,0.1
2019-04-02 04:58:24+00:00,-114.0,-10.8,-1.0,1,0.0,02_04_2019,2.0,-65.9,4.739303746332335,1.3
2020-05-02 21:04:18+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-26.3,6.081666438293444,0.3
2020-05-02 15:04:16+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-17.2,3.562162264692211,0.2
2020-08-03 14:22:53+00:00,0.0,0.0,0.0,0,0.0,03_08_2020,1.0,-20.3,3.2002777657222894,0.3
2019-04-02 20:43:38+00:00,0.0,0.0,0.0,0,0.0,02_04_2019,1.0,-55.13333333333334,4.814025611958396,1.1
2020-05-02 13:04:05+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,0.0,0.0,0.0
2019-04-02 02:21:43+00:00,-113.33333333333331,-2.4,0.3333333333333333,3,19.33333333333333,02_04_2019,0.6666666666666667,-67.25,5.681908219825319,1.6
2020-07-03 02:59:29+00:00,0.0,0.0,0.0,0,0.0,03_07_2020,1.0,-10.5,1.8341210428972965,0.1
2020-05-02 13:16:31+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-40.33333333333333,5.256061756218515,0.6
2019-04-02 21:38:00+00:00,-109.0,3.0,1.0,2,29.0,02_04_2019,0.0,-65.145,4.162205745354905,1.7
2020-07-03 17:17:37+00:00,-78.0,9.2,1.0,1,-1.0,03_07_2020,0.0,-7.8,2.90929544735462,0.1
2019-03-03 00:50:54+00:00,-105.0,-2.1500000000000004,0.0,2,80.0,03_03_2019,1.0,-95.03333333333332,4.550901755709717,2.2
2019-03-03 06:14:11+00:00,-111.0,-8.1,1.0,2,26.0,03_03_2019,0.0,-96.4952380952381,9.311945367677533,2.0
2020-09-02 12:22:50+00:00,0.0,0.0,0.0,0,0.0,02_09_2020,1.0,-30.8,6.342539361766259,0.4
2020-07-03 17:01:06+00:00,0.0,0.0,0.0,0,0.0,03_07_2020,1.0,-28.5,5.455924404819923,0.3
2019-03-03 00:31:29+00:00,-113.0,-6.16,-0.2,5,10.4,03_03_2019,1.2,-43.7,3.3573667343451854,1.3
2020-08-03 16:40:15+00:00,0.0,0.0,0.0,0,0.0,03_08_2020,1.0,0.0,0.0,0.0
2020-05-02 19:36:11+00:00,0.0,0.0,0.0,0,0.0,02_05_2020,1.0,-19.5,2.5329824318376115,0.2
2019-03-03 04:23:22+00:00,-116.0,-9.5,-1.0,1,0.0,03_03_2019,2.0,-65.85,6.36348087833135,1.0
2019-03-03 15:14:05+00:00,0.0,0.0,0.0,0,0.0,03_03_2019,1.0,-53.35,3.241484570720883,1.7
